Wavelength [nm],Transmittance [%]
900,37.1453
899,37.1352
898,37.1236
897,37.1095
896,37.0933
895,37.0755
894,37.0557
893,37.0354
892,37.0144
891,36.9914
890,36.9677
889,36.9448
888,36.9205
887,36.8962
886,36.8719
885,36.8476
884,36.8219
883,36.7959
882,36.7678
881,36.7396
880,36.7121
879,36.6837
878,36.6546
877,36.6249
876,36.5941
875,36.5629
874,36.5298
873,36.4965
872,36.4618
871,36.4278
870,36.3927
869,36.3556
868,36.3184
867,36.281
866,36.2426
865,36.2036
864,36.1627
863,36.1215
862,36.0814
861,36.0393
860,35.9963
859,35.9538
858,35.9091
857,35.8625
856,35.8167
855,35.7551
854,35.6941
853,35.6312
852,35.5668
851,35.5008
850,35.4329
849,35.3633
848,35.293
847,35.2226
846,35.152
845,35.0778
844,35.0172
843,34.9529
842,34.8903
841,34.8279
840,34.763
839,34.6984
838,34.6318
837,34.5632
836,34.494
835,34.4255
834,34.3554
833,34.2838
832,34.2126
831,34.1387
830,34.0641
829,33.9882
828,33.9127
827,33.836
826,33.7581
825,33.6801
824,33.5994
823,33.5192
822,33.4386
821,33.357
820,33.2746
819,33.1897
818,33.1045
817,33.0187
816,32.9335
815,32.847
814,32.7602
813,32.6719
812,32.582
811,32.4922
810,32.3998
809,32.3071
808,32.2156
807,32.1227
806,32.029
805,31.9348
804,31.8389
803,31.7404
802,31.6418
801,31.5425
800,31.4425
799,31.3428
798,31.2415
797,31.1377
796,31.0344
795,30.93
794,30.8234
793,30.7185
792,30.6144
791,30.5082
790,30.4005
789,30.2913
788,30.1818
787,30.0725
786,29.9626
785,29.851
784,29.7385
783,29.6238
782,29.5091
781,29.3938
780,29.2786
779,29.1626
778,29.0466
777,28.9296
776,28.8103
775,28.6908
774,28.5712
773,28.4506
772,28.3323
771,28.211
770,28.0881
769,27.9653
768,27.8422
767,27.7178
766,27.5934
765,27.4695
764,27.3449
763,27.2187
762,27.0927
761,26.9659
760,26.8388
759,26.7107
758,26.5822
757,26.4537
756,26.3251
755,26.1951
754,26.0652
753,25.9351
752,25.805
751,25.6741
750,25.5421
749,25.4108
748,25.2795
747,25.1479
746,25.0159
745,24.8828
744,24.7498
743,24.6163
742,24.4823
741,24.3488
740,24.2153
739,24.0811
738,23.9462
737,23.8114
736,23.6765
735,23.5416
734,23.4065
733,23.2712
732,23.1362
731,23.0008
730,22.8638
729,22.7267
728,22.5904
727,22.4532
726,22.3155
725,22.1777
724,22.04
723,21.9028
722,21.7658
721,21.6283
720,21.4908
719,21.354
718,21.217
717,21.0797
716,20.943
715,20.8067
714,20.6702
713,20.5336
712,20.3975
711,20.2609
710,20.1241
709,19.9879
708,19.8523
707,19.7168
706,19.5814
705,19.4465
704,19.3122
703,19.1781
702,19.0441
